Data;Dia;Status;Batida_1;Batida_2;Batida_3;Batida_4;Batida_5;Batida_6;Saldo_diario;Meta_horas;Saldo_Extra
2026-05-15;sexta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-14;quinta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-13;quarta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-12;terça;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-11;segunda;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-10;domingo;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-09;sábado;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-08;sexta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-07;quinta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-06;quarta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-05;terça;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-04;segunda;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-03;domingo;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-02;sábado;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-05-01;sexta;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""08:00""";"""-08:00"""
2026-04-30;quinta;normal;"""07:16""";"""11:47""";"""13:30""";"""14:45""";"""15:46""";"""19:03""";"""09:03""";"""08:00""";"""01:03"""
2026-04-29;quarta;normal;"""07:42""";"""10:10""";"""13:30""";"""18:33""";"""00:00""";"""00:00""";"""07:31""";"""08:00""";"""-00:29"""
2026-04-28;terça;normal;"""07:49""";"""11:33""";"""13:30""";"""17:08""";"""00:00""";"""00:00""";"""07:22""";"""08:00""";"""-00:38"""
2026-04-27;segunda;normal;"""08:47""";"""11:37""";"""13:45""";"""18:00""";"""00:00""";"""00:00""";"""07:05""";"""08:00""";"""-00:55"""
2026-04-26;domingo;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-25;sábado;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-24;sexta;normal;"""07:17""";"""11:30""";"""13:30""";"""17:38""";"""00:00""";"""00:00""";"""08:21""";"""08:00""";"""00:21"""
2026-04-23;quinta;normal;"""08:25""";"""11:40""";"""13:34""";"""18:05""";"""00:00""";"""00:00""";"""07:46""";"""08:00""";"""-00:14"""
2026-04-22;quarta;normal;"""07:30""";"""11:32""";"""13:30""";"""18:12""";"""00:00""";"""00:00""";"""08:44""";"""08:00""";"""00:44"""
2026-04-21;terça;feriado;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-20;segunda;feriado;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-19;domingo;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-18;sábado;normal;"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""00:00"""
2026-04-17;sexta;normal;"""07:36""";"""12:11""";"""00:00""";"""00:00""";"""00:00""";"""00:00""";"""04:35""";"""08:00""";"""-03:25"""
2026-04-16;quinta;normal;"""07:56""";"""14:31""";"""15:32""";"""18:53""";"""00:00""";"""00:00""";"""09:56""";"""08:00""";"""01:56"""
